publish_date,headline_category,headline_text
20220101,city.lucknow,"Uttar Pradesh raises its share of pay to ASHA workers; assistants by 100%"
20220101,city.varanasi,"Shah dares Akhilesh to stop temple construction"
20220101,india,"Multilingualism; Indian knowledge system among NCERT focus areas"
20220101,india,"I-T raid on UP trader who is also SP MLC"
20220101,india,"Xiaomi; Oppo face Rs 1;000 crore fine for I-T norms violations"
20220101,india,"Finance minister says Akhilesh Yadav 'shaken' by tax raids; defends agencies"
20220101,india,"Consider any person with fever Covid suspect: Government"
20220101,india,"Coronavirus: Centre prepares labs and hospitals for spike"
20220101,india,"Omicron cases dip to 168 after Thursday's peak of 263"
20220101,business.india-business,"It will be a charge of SUVs and electrics in 2022 Tesla; Hyundai; Kia; Mahindra; Hero among those to launch EVs"
20220101,india,"36;000 couples in queue; but CARA has 1;936 kids: Report"
20220101,city.gurgaon,"MCG to reactivate Covid control room for contact tracing"
20220101,city.gurgaon,"Covid-19 in Gurugram: At 280; sharp jump in 1-day cases"
20220101,city.gurgaon,"Registry ban on Ardee City residents' sales deeds lifted; they call it NY gift"
20220101,city.gurgaon,"17 more Omicron cases in Gurugram; tally reaches 33"
20220101,city.gurgaon,"GMDA to build 800m-long road; drain near Sec 70A in 6 months"
20220101,city.gurgaon,"Bhondsi; Sohna & Farrukhnagar turn hub of illegal colonies; 1k acres cleared of squatters"
20220101,city.gurgaon,"Outfits that led namaz protests in Gurugram hail Nathuram Godse in rally"
20220101,city.gurgaon,"11-year-old missing from Nuh since Aug found murdered in Sariska"
20220101,city.gurgaon,"Gurugram: 15-18 group to get jabs at 76 session sites on Monday"
20220101,city.gurgaon,"Digital training of teachers in model schools restarts"
20220101,city.noida,"Search begins for firm to build Noida heliport"
20220101,city.noida,"Exam racket: Delhi cop 'wanted easy money'"
20220101,city.ghaziabad,"New cases in Gzb double in a day"
20220101,city.noida,"From metro stns to malls; NY revellers are on police radar"
20220101,city.noida,"Will return to protest if promises are not met; says farmer leader"
20220101,city.noida,"Farmers end 4-month abadi land stir as Noida gives roadmap"
20220101,city.mumbai,"Mumbai: Omicron in 55% of Covid positive samples; says BMC survey"
20220101,city.mumbai,"At 1.1 lakh; Mumbai records decade's maximum flat sales"
20220101,city.mumbai,"Maharashtra out with 'blueprint' to tackle Omicron"
20220101,city.mumbai,"5 pm to 5 am restrictions at beaches; grounds; parks in Mumbai"
20220101,city.mumbai,"Speeding offences grew 17 times; signal jumping by 100% in Maharashtra in 2 years"
20220101,city.mumbai,"city warms up to welcome 22 min temp soars to 20c"
20220101,city.mumbai,"GST evasion of Rs 40 crore by Mumbai cryptocurrency exchange WazirX"
20220101,city.mumbai,"Mumbai: I-T raids Samajwadi Party MLC Pushpraj Jain and his relatives"
20220101,city.mumbai,"HC stays notice to reopen old assessment under I-T Act"
20220101,city.mumbai,"Mumbai: HC gives police 10 days to find woman missing since February"
20220101,city.mumbai,"Khar NYE murder: A year on; family mourns daughter; awaits justice"
20220101,city.mumbai,"Strong placements attract many to technical courses"
20220101,city.mumbai,"Maharashtra resident doctors to continue protest"
20220101,city.mumbai,"Maharashtra: Narayan Rane wins Sindhudurg coop bank polls for BJP"
20220101,city.mumbai,"Mumbai: 2 transpersons convicted; 1 acquitted in 2016 murder case"
20220101,city.mumbai,"Mumbai: NCB challenges bail for Nawab Malik son-in-law"
20220101,city.mumbai,"Impressed; President Ramnath Kovind seeks info on Mumbai's coastal trees"
20220101,city.mumbai,"Three-month extension for probe committee"
20220101,city.mumbai,"BEST's New Year gifts: New smartcards; free rides for Mumbaikars"
20220101,city.mumbai,"Mumbai: Admissions to B-school subject to court orders"
20220101,city.mumbai,"Kangana plea for case transfer rejected"
20220101,city.mumbai,"I-Pru MF to launch India's first silver ETF"
20220101,city.mumbai,"Mumbai Police returns Rs 1.3 crore stolen items to owners"
20220101,city.mumbai,"Sensex gains 22% in 2021 to end over 58k"
20220101,city.mumbai,"Current account hits $9.6bn deficit"
20220101,city.navimumbai,"Maharashtra: Tracker dog 'Oscar' helps identify rape & murder accused"
20220101,city.mumbai,"Vengsarkar Academy rout Salvi Clinic in final"
20220101,city.navimumbai,"Drugs worth 2.5 cr seized from Navi Mum"
20220101,city.navimumbai,"Navi Mumbai: Panvel deputy mayor; MLA; 350+ others flout rules to celebrate birthday; booked"
20220101,city.bengaluru,"Bengaluru gets two addl police commissioners in IPS reshuffle"
20220101,city.thane,"Maharashtra: Father beats 10-year-old to death for stealing 50 in Thane"
20220101,city.bengaluru,"More alcohol sold on New Year's Eve this time"
20220101,city.bengaluru,"Curbs impact: Afternoon busy for revellers but evening dull"
20220101,city.bengaluru,"Ganja sent by parcel post to undertrials at Central Prison"
20220101,city.bengaluru,"HC upholds man's preventive detention over drug peddling"
20220101,city.bengaluru,"35;000 autos plying illegally in Bengaluru; no staff to monitor"
20220101,city.bengaluru,"Karnataka: Many private schools join hands with hospitals to jab kids on campus"
20220101,city.bengaluru,"Only Covaxin jabs for children"
20220101,city.bengaluru,"State sees 8 Covid deaths"
20220101,city.bengaluru,"Series of election victories in 2021 boost Cong morale"
20220101,city.bengaluru,"Tech Mahindra acquires IT company Allyis for $125million"
20220101,city.bengaluru,"Bengaluru: NHAI official among 6 held in bribery case"
20220101,city.bengaluru,"Abuse of power case against cops quashed"
20220101,city.bengaluru,"Call BWSSB today to air problems"
20220101,city.bengaluru,"Bengaluru: Gang assaults 2 students after spat over honking"
20220101,city.bengaluru,"Bangalore varsity cagers on a roll"
20220101,city.bengaluru,"BCU annex SZ varsity hockey title"
20220101,city.chennai,"Stalin asks party cadres not to visit him on New Year"
20220101,city.chennai,"Equal weightage should be given to all states in GST council; says Tamil Nadu minister Palanivel Thiaga Rajan"
20220101,city.chennai,"New green committees to take charge in third week of January"
20220101,city.chennai,"One held; hunt on for 6 for suicide by student"
20220101,city.chennai,"Tamil Nadu: BJP prepares for special 'Modi Pongal' during PM visit on January 12"
20220101,city.chennai,"EPS slams CM for blaming AIADMK for floods in city"
20220101,city.chennai,"Heavy rain: Over 80;000 switched to Chennai metro; 40;000 took suburban trains"
20220101,city.chennai,"Farmer moves high court for fuel subsidy"
20220101,city.chennai,"Drugs sent by post seized at Chennai airport"
20220101,city.chennai,"Two bodies wash ashore in Vayalur"
20220101,city.chennai,"Chennaiites celebrate New Year's eve indoors"
20220101,city.chennai,"Release of surplus water from reservoirs reduced in Tamil Nadu"
20220101,city.chennai,"Mechanic dies as lorry tyre he was filling bursts"
20220101,city.chennai,"Come June; Chennai airport all set to get swanky upgrades"
20220101,city.chennai,"Covid-19: 33.2 lakh students in Tamil Nadu to be given Covaxin from January 3"
20220101,city.chennai,"56-year-old; biker die in separate road accidents in city"
20220101,city.chennai,"Seven temples that draw big crowds get medical centres"
20220101,city.chennai,"Tamil Nadu CM M K Stalin to inaugurate commissioner offices in Tambaram; Avadi"
20220101,city.chennai,"GST wing finds evasion by cryptocurrency exchange"
20220101,city.chennai,"Leonardo best for Kol feature"
20220101,city.chennai,"College student drowns in sea off Neelankarai beach"
20220101,city.chennai,"Trains between Tambaram and Chengalpet set to run on time"
20220101,city.chennai,"Chennai: Woman who killed daughter-in-law sentenced to life"
20220101,city.chennai,"HC docks salary of two inspectors"
20220101,city.chennai,"My aim is to become a finisher like Dhoni; says Shahrukh"
20220101,city.chennai,"Pocso: Man sentenced to 3-year jail"
20220101,city.hyderabad,"DGP: Armed outposts to be set up on T-Ch'garh border"
20220101,city.hyderabad,"Road accidents in Telangana see a jump this year"
20220101,city.hyderabad,"1;655 rapes in Telangana due to breach of promise to marry"
20220101,city.hyderabad,"Cycling techie hit bydrunk driver; critical"
20220101,city.hyderabad,"Hyderabad: Mask must at Numaish or cough up Rs 1;000 fine"
20220101,city.hyderabad,"CBI books Hyderabad firm for Rs 44 crore bank loan fraud"
20220101,city.hyderabad,"Kerala CM to visit Sec'bad on Jan 8"
20220101,city.hyderabad,"Raja Singh convicted in 2015 DJ music case"
20220101,city.hyderabad,"Covid cases surpass 300 in Telangana; first time in 5 months"
20220101,city.hyderabad,"OU finds a newway to store Neera"
20220101,city.hyderabad,"Telangana HC says no to fresh Covid curbs"
20220101,city.hyderabad,"No new Omicron case in Telangana"
20220101,city.hyderabad,"First Covid vaccine Sputnik V fails to take off in India"
20220101,city.hyderabad,"Hyderabad: Schools tying up with hospitals for kids' vaccination drive"
20220101,city.hyderabad,"Delays plague GHMC; but work on roads sees progress"
20220101,city.hyderabad,"Changed phone numbers add to vaccination drive chaos in Telangana"
20220101,city.hyderabad,"Hyderabad's tech corridor sees fastest realty recovery"
20220101,city.hyderabad,"KTR to inaugurate Shaikpet flyover today"
20220101,city.hyderabad,"Panel: Explain Revanth letter leak to media"
20220101,city.hyderabad,"Nalgonda IT hub in 18 months: Telangana minister KT Rama Rao"
20220101,city.hyderabad,"VHR urges Tagore to convene PACmeeting on govt privatisation bid"
20220101,city.hyderabad,"GO ensures ticket rate slashing: Film chamber"
20220101,city.hyderabad,"TASK outreach helps to train 500 students"
20220101,city.hyderabad,"Repeal GO 317 on transfers of govt staff: Telangana BJP president Bandi Sanjay Kumar"
20220101,city.hyderabad,"Market King; Headway impress"
20220101,city.hyderabad,"Owaisi to address rallies in Uttar Pradesh"
20220101,city.kolkata,"Kolkata restaurants; bars see sudden dip in footfall after Covid cases rise"
20220101,city.hyderabad,"Evergreen enter final"
20220101,city.kolkata,"Schools send caution messages; await govt safety notice on Mon"
20220101,city.kolkata,"Uncertainty; safety warnings replace enthusiasm in New Year's greetings"
20220101,city.kolkata,"West Bengal: 15-18 years can use school IDs for Covid vaccination; register on spot"
20220101,city.kolkata,"Colleges reach out to under-18 students ahead of jab drive"
20220101,city.kolkata,"Sourav out of hosp; in home isolation"
20220101,city.kolkata,"Kolkata does better than Christmas weekend; but gatherings still a worry"
20220101,city.kolkata,"Take Cov beds to the level of first wave"
20220101,city.kolkata,"Kolkata: TMC kicks off Bidhannagar campaign"
20220101,city.kolkata,"Cov rule for New Town book fair"
20220101,city.kolkata,"Amid fresh Covid-hit turbulence; 50% more footfall in December 2021 than last year at Kolkata airport"
20220101,city.kolkata,"Covid-19: Bengal touches 4 crore milestone for second jab; targets another 1.4 crore adults by January"
20220101,city.kolkata,"West Bengal: Liquor revenue nears Rs 2;000 crore mark in December"
20220101,city.kolkata,"Focus on cyber crime; Cov: Goyal"
20220101,city.kolkata,"Bhutan road construction behind bear straying in N Bengal: Experts"
20220101,city.kolkata,"Crackers and nylon nets back in action as tiger enters village again"
20220101,city.kolkata,"IPS rejig: Two senior officers made DGs"
20220101,city.kolkata,"Mercury drops; slide may continue"
20220101,city.kolkata,"Restos; bars see sudden dip in footfalls after cases rise"
20220101,city.kolkata,"'Doctor' in Kolkata poses as a RAW officer; lands in police net"
20220101,city.bhopal,"Collector wishes on New Year; urges people to get kids vaxxed"
20220101,city.bhopal,"Bhopal: Lab worker among 3 dead in accidents"
20220101,city.bhopal,"MP misses 100% vaccination target; only 91;000 doses given on Friday"
20220101,city.bhopal,"Bhopal: Skeleton found hanging on terrace"
20220101,city.bhopal,"Bhopal: Seniors more 'mask-friendly' than youngsters"
20220101,city.bhopal,"Man run over by train"
20220101,city.bhopal,"Youth's death: Cops file murder case"
20220101,city.bhopal,"New Year begins on chilly note; fog across Madhya Pradesh"
20220101,city.bhopal,"CM visits Hamidia; checks readiness"
20220101,city.bhopal,"MP reports 77 new Covid cases; highest in over 5 months"
20220101,city.bhopal,"22-year-old girl raped on fake promise"
20220101,city.bhopal,"MP: Migrant workers head back in search of livelihood"
20220101,city.bhopal,"2 Sehore men held with illegal weapons"
20220101,city.thiruvananthapuram,"Registration to vaccinate kids begins today"
20220101,city.thiruvananthapuram,"Kerala logs 44 more Omicron cases"
20220101,city.thiruvananthapuram,"Mining dept notice to contractor"
20220101,city.thiruvananthapuram,"IGNITE 2022 inauguration today"
20220101,city.thiruvananthapuram,"Aneesh murder: Police dismiss family's allegations"
20220101,city.thiruvananthapuram,"Foreigner pours out liquor to protest against cops"
20220101,city.thiruvananthapuram,"Ramesh to spend New Year in tribal colony"
20220101,city.thiruvananthapuram,"Man arrested for ganja peddling"
20220101,city.thiruvananthapuram,"Anupama; Ajith get married"
20220101,city.ahmedabad,"Aryan wins 2 gold in university games"
20220101,city.ahmedabad,"Covid-19: Ahmedabad's daily case tally crosses 300 after 217 days"
20220101,city.ahmedabad,"Ahmedabad: Eight new micro-containment zones notified by civic body"
20220101,city.ahmedabad,"Covid protocols tighter at Ahmedabad airport"
20220101,city.ahmedabad,"Ahmedabad: Schools plan to shut classrooms"
20220101,city.ahmedabad,"New Year high: Chopper joyrides from today"
20220101,city.ahmedabad,"New guidelines out for govt offices"
20220101,city.ahmedabad,"BJP workers must first follow mask rule: Gujarat CM Bhupendra Patel"
20220101,city.ahmedabad,"Post-doctoral degrees: Gujarat University yet to shortlist candidates"
20220101,city.ahmedabad,"Gujarat's feted terrorist hunter Himanshu Shukla heads to Delhi"
20220101,city.ahmedabad,"10 cybercheating complaints filed in a single day; 23L lost"
20220101,city.ahmedabad,"Woman lawyer catches phone snatcher"
20220101,city.ahmedabad,"Min temp set to rise from today"
20220101,city.ahmedabad,"Guj icon's inspiration to reboot live Saptak"
20220101,city.ahmedabad,"Ahmedabad: Man orchestrates his own abduction to pay off loans"
20220101,city.ahmedabad,"Ahmedabad: Civil court restrains son from entering father's house"
20220101,city.ahmedabad,"Higher fines for repeated stray cattle offences on hold"
20220101,city.visakhapatnam,"Omicron tally increases to 17 in Andhra Pradesh"
20220101,city.visakhapatnam,"HSL delivers 50T BP tug to Navy"
20220101,city.visakhapatnam,"Women-exclusive parks to come up in Visakhapatnam"
20220101,city.visakhapatnam,"Two held in fake currency racket bust in Visakhapatnam"
20220101,city.visakhapatnam,"Operational readiness review"
20220101,city.visakhapatnam,"Visakhapatnam: Plots for middle class planned on 363 acres"
20220101,city.visakhapatnam,"Sweet success for Rasheed as he charts a tough course to the top"
20220101,city.visakhapatnam,"Tailor killed in fight over poorly stitched shirt"
20220101,city.ranchi,"Aqua World to stay closed till Sunday amid spike in Covid cases"
20220101,city.ranchi,"2 arrested in Jeetram Munda case"
20220101,city.ranchi,"JSBC plans to increase lawyers' pension"
20220101,city.ranchi,"New Covid curbs in Jharkhand likely from next week"
20220101,city.ranchi,"Street vendors gherao police station"
20220101,city.ranchi,"Bishop urges govt to stop the spread of 'communal virus'"
20220101,city.ranchi,"Almost a month on; no end in sight to HEC impasse"
20220101,city.ranchi,"People yet to voluntarily turn up for testing"
20220101,city.ranchi,"Double dose vax must to enter Rajrappa; Patratu Lake Resort"
20220101,city.indore,"Housefull: Tourists in MP to ring in NY"
20220101,city.indore,"Algae in Sirpur worries green crusaders"
20220101,city.indore,"Spot fine for littering"
20220101,city.indore,"Indore: Liquor worth Rs 65;000 seized from businessman's car"
20220101,city.indore,"FIR against fair price shop owner for irregularity in stock"
20220101,city.indore,"Doctor booked for harassment"
20220101,city.indore,"No pension for 12500 beneficiaries for months"
20220101,city.indore,"Indore: 62 Covid cases in a day; highest since second wave"
20220101,city.indore,"Covid-19: Indore falls 60;000 short of full immunisation"
20220101,city.indore,"Over 2 lakh teens in Indore likely to be vaccinated by January 10"
20220101,city.indore,"Covid death compensation caught in red tape"
20220101,city.indore,"Indore: Sewer rectification to be done in 3 areas"
20220101,city.indore,"Restricted New Year celebrations in Indore"
20220101,city.mysuru,"Karnataka: Urban local bodies poll results indicate a wave in favour of Congress; says KPCC working president R Dhruvanarayana"
20220101,city.mysuru,"Muda continues reclamation drive; illegal occupants evicted from house"
20220101,city.mysuru,"Mayor: No disputes over statue elsewhere"
20220101,city.mysuru,"99l donated for construction of enclosures at mysuru zoo"
20220101,city.mysuru,"Music concert from January 6"
20220101,city.mysuru,"Rangayana row: Samithi activists to intensify protest"
20220101,city.raipur,"CoBRA inspector hangs himself in Sukma"
20220101,city.raipur,"Amputee gets 12.60L aid from CM for mountain expedition"
20220101,city.raipur,"Spurt continues for 2nd day"
20220101,city.raipur,"CoBRA commando killed in Sukma encounter with Naxals"
20220101,city.raipur,"Youth arrested for impersonating as IPS officer at PMO"
20220101,city.raipur,"Kalicharan remanded in jail for 14 days"
20220101,city.vijayawada,"Andhra Pradesh liquor sales to touch record highs"
20220101,city.vijayawada,"Chief Justice to hear B Anandaiah plea; says Andhra Pradesh high court"
20220101,city.vijayawada,"A year of political success for Andhra Pradesh CM YS Jagan Mohan Reddy's dispensation"
20220101,city.vijayawada,"Andhra Pradesh government promotes 17 IPS officers from state cadre"
20220101,city.vijayawada,"Crime on uptick in Vijayawada; but cops better conviction rate"
20220101,india,"Maharashtra; Mumbai Covid cases double in 48 hours"
20220101,city.vijayawada,"CM extends New Year greetings"
20220101,city.ajmer,"Rape accused held in Ajmer"
20220101,city.jaipur,"Udaipur: 'Recovered' elderly Omicron patient dies"
20220101,city.jaipur,"Rajasthan finance dept gives stamp duty relief for below Rs 50 lakh flats"
20220101,city.jaipur,"Para teachers call off protest over pay hike"
20220101,city.jaipur,"West Rajasthan farmers to get less water from January 12"
20220101,city.jaipur,"6 die in separate accidents in Raj"
20220101,city.jaipur,"PMAY-G: Teams formed in 5 dists"
20220101,city.jaipur,"Budding painters brush with bigwigs at JKK"
20220101,city.jaipur,"Pay 1 lakh to woman who gave birth outside Community Health Centre; says Rajasthan rights panel"
20220101,city.jaipur,"Ex-RBI dy guv HR Khan joins AU Bank board"
20220101,city.jaipur,"32 'e-mitra at home' services to start in Jaipur & Jodhpur today"
20220101,city.udaipur,"Russia buries Udaipur man secretly; kin livid"
20220101,city.jaipur,"Crop damage: Relief sought for farmers in Rajasthan"
20220101,city.surat,"GST hike deferred; traders rejoice"
20220101,city.surat,"Runaway Surat teen rescued from Ahmedabad"
20220101,city.surat,"Lecture on Bhagavad Gita"
20220101,city.surat,"Six-year-old boy falls to death while flying kite in Surat"
20220101,city.surat,"Gujarat: Man gets 20 years in jail for raping 8-year-old"
20220101,city.surat,"Surat records 97 new Covid-19 cases; three Omicron infections"
20220101,city.surat,"Guard held for mobile theft"
20220101,city.mangaluru,"Church forbids forced conversion: Bishop Saldanha"
20220101,city.mangaluru,"Cases are reviewed before filing 'B' report: SP"
20220101,city.mangaluru,"65 Covid cases along coast"
20220101,city.mangaluru,"Public throng beaches on NYE; asked to leave by 7pm"
20220101,city.nashik,"Information officer dies in road accident"
20220101,city.nashik,"NY tourists from far & near throng boat club in Nashik"
20220101,city.nashik,"Active Covid cases report rise in just nine days in Nashik city"
20220101,city.nashik,"Vax of children in Nashik city to begin at 6 centres"
20220101,city.nashik,"KMC to shut down errant marriage halls"
20220101,city.nashik,"Space sought for parking lawyers' vehicles from ZP"
20220101,city.nashik,"Leopard cub falls into well; rescued"
20220101,city.nashik,"Nashik: BAMS student ends life by hanging self in hostel room"
20220101,city.hubballi,"Stones pelted at mutt in Afzalpur"
20220101,city.hubballi,"Active cases drop to zero for the third time in Haveri"
20220101,city.hubballi,"Literacy programme for jail inmates begins"
20220101,city.hubballi,"Develop govt schools like Delhi"
20220101,city.hubballi,"Tunnel aquarium to come up in Hubballi"
20220101,city.hubballi,"Samiti to organise visit to Kashi"
20220101,city.hubballi,"Karnataka businessman buys horse to cut fuel bill; stay fit"
20220101,city.chandigarh,"Chandigarh tightens curbs; random checks on"
20220101,city.chandigarh,"Clubs open till late; 2 held"
20220101,city.chandigarh,"New councillors to take oath today"
20220101,city.chandigarh,"E-rickshaw driver's death: Murder case filed"
20220101,city.chandigarh,"23-year-old held with pistol in Chandigarh"
20220101,city.chandigarh,"Chandigarh Housing Board set to auction 145 properties from Jan 11"
20220101,city.chandigarh,"GMCH resident doctors' assn ends strike"
20220101,city.chandigarh,"Chandigarh: Got masks having fungus; say PGI OT staff"
20220101,city.chandigarh,"MC releases colouring book on cleanliness"
20220101,city.chandigarh,"Chandigarh adds more teams at vaccination sites"
20220101,city.chandigarh,"Panjab University vice-chancellor releases digital calendar"
20220101,city.rajkot,"Gujarat: 32 test positive for Covid-19 in Rajkot"
20220101,city.rajkot,"Gujarat: Man; son among four held for arms smuggling"
20220101,city.rajkot,"One held for country liquor sale"
20220101,city.srinagar,"NIA arrests Lashkar's TRF operative in Srinagar"
20220101,city.shimla,"No GST compensation from this year; tough time for HP"
20220101,city.shimla,"Cabinet rejig likely in Himachal Pradesh after state polls"
20220101,city.shimla,"HP reports 87 fresh Covid cases; 1 death"
20220101,city.madurai,"Man held for murdering wife"
20220101,city.madurai,"Fresh Covid cases climb to 83 in south Tamil Nadu; 28 in central"
20220101,city.madurai,"Absconding parents arrested; confess to killing infant girl"
20220101,city.madurai,"Crowded lifts and maskless faces in private hospitals"
20220101,city.madurai,"Over 9L card holders to get Pongal gifts"
20220101,city.madurai,"Police step up vigil to prevent crowding in public places on NY"
20220101,city.madurai,"All murder cases in 2021 in Madurai solved; says SP"
20220101,city.bareilly,"CM Yogi Adityanath finished 'goonda raj' in Uttar Pradesh: Amit Shah in Bareilly"
20220101,city.patna,"105 test Covid positive in Patna; 158 in Bihar"
20220101,city.patna,"Make arrangements to test 'O' variant in Bihar: CM"
20220101,city.patna,"Pre-budget meet: Deputy CM pitches for special central assistance to Bihar"
20220101,city.patna,"RJD's national executive meet on February 20 in Patna"
20220101,city.patna,"Son richer than Nitish Kumar; Bihar CM owns immovable assets worth over Rs 58 lakh"
20220101,city.patna,"Make arrangements forOmicron testing in state"
20220101,city.patna,"Private; govt hospitals in Bihar buckle up to tackle third Covid wave"
20220101,city.patna,"4 flights to remain suspended from today"
20220101,city.patna,"Patnaites welcome New Year with gaiety"
20220101,city.patna,"Patna Sahib station gears up for Prakash Parv"
20220101,city.kanpur,"cm yogi lays foundation stone of 638crore projects in kanpur dehat"
20220101,city.kanpur,"2 more arrested for creating ruckus in PM Modi's rally in city"
20220101,city.kanpur,"95-year-old doctor; his 86-yr-old wife take a joyride on Metro train"
20220101,city.kanpur,"City girl wins chess tournament"
20220101,city.kanpur,"New agency for waste disposal"
20220101,city.kanpur,"UP: IT raid on Kannauj perfume trader who is also SP MLC"
20220101,city.kanpur,"Akhilesh Yadav to EC: Aren't IT raids on SP men violation of model code?"
20220101,city.ludhiana,"PAU winds up 2021 with its professors fighting govt"
20220101,city.ludhiana,"SAD alleges Cong role in bomb blast and sacrilege"
20220101,city.ludhiana,"CICU holds session on IP rights for MSMEs"
20220101,city.ludhiana,"Post repeal of farm laws; BJP trying to gain base"
20220101,city.ludhiana,"FIR filed 46 days after man beaten up"
20220101,city.ludhiana,"YAD wants FIR against Majithia dismissed"
20220101,city.ludhiana,"Molestation plaint 'inaction': Parents shoe-garland DEO"
20220101,city.ludhiana,"Active cases jump to 4-mth high"
20220101,city.ludhiana,"MC pulled up for not clearing Tata's dues"
20220101,city.ludhiana,"NY gift for garment; textile bizmen: 7% GST hike deferred"
20220101,city.ludhiana,"Road scraped off; to be built again"
20220101,city.ludhiana,"Man held for manhandling traffic cop"
20220101,city.ludhiana,"Initial surge may have started in dist: CMCH study"
20220101,city.ludhiana,"18 more residents contract virus"
20220101,city.pune,"From Deep Despair Springs Recovery"
20220101,city.pune,"Buzz missing; thinner crowds ring in 2022"
20220101,city.pune,"Moderately strong winds likely to bring chill to the New Year"
